source,target,weight
68,1810,1.0
68,3955,1.0
68,5899,1.0
68,6795,1.0
68,8021,1.0
68,8116,1.0
68,9769,1.0
69,2288,1.0
69,2632,1.0
69,4596,1.0
69,5443,1.0
70,5689,1.0
70,5775,1.0
70,5934,1.0
70,7455,1.0
70,7741,1.0
70,12052,1.0
71,1302,1.0
71,1519,1.0
71,3946,1.0
71,4352,1.0
71,6897,1.0
71,7145,1.0
71,7319,1.0
71,7575,1.0
71,7595,1.0
71,7610,1.0
71,9982,1.0
72,53,1.0
72,1388,1.0
72,11832,1.0
73,27,1.0
73,1962,1.0
73,3041,1.0
73,5728,1.0
73,5732,1.0
73,5954,1.0
73,6107,1.0
73,9671,1.0
73,12058,1.0
74,1327,1.0
74,11935,1.0
75,305,1.0
75,2555,1.0
75,3430,1.0
75,6136,1.0
75,6284,1.0
75,7198,1.0
75,7564,1.0
75,11763,1.0
76,1485,1.0
76,1640,1.0
76,3385,1.0
76,9670,1.0
76,11767,1.0
77,1487,1.0
77,5910,1.0
77,8211,1.0
77,9357,1.0
77,9665,1.0
77,10416,1.0
77,10577,1.0
77,10924,1.0
77,11811,1.0
78,779,1.0
78,1475,1.0
78,2887,1.0
78,6360,1.0
79,26,1.0
79,2707,1.0
79,2830,1.0
79,3193,1.0
79,4639,1.0
79,5700,1.0
79,6799,1.0
79,7198,1.0
79,7828,1.0
79,8835,1.0
79,10181,1.0
79,10403,1.0
79,10682,1.0
79,11763,1.0
80,1009,1.0
80,1301,1.0
80,2320,1.0
80,4023,1.0
80,4100,1.0
80,4115,1.0
80,4406,1.0
80,4416,1.0
80,4596,1.0
80,6294,1.0
81,553,1.0
81,2585,1.0
81,2624,1.0
81,2669,1.0
81,2699,1.0
81,4614,1.0
81,6519,1.0
82,4710,1.0
83,96,1.0
83,1388,1.0
83,2806,1.0
83,4733,1.0
83,4902,1.0
83,10181,1.0
83,11765,1.0
84,4014,1.0
84,5434,1.0
84,5949,1.0
85,2325,1.0
85,6039,1.0
85,7204,1.0
85,7876,1.0
85,8353,1.0
85,11929,1.0
86,4328,1.0
86,5509,1.0
86,8072,1.0
86,10455,1.0
86,10639,1.0
87,1604,1.0
87,2586,1.0
87,4435,1.0
87,7824,1.0
87,7850,1.0
87,8229,1.0
88,2437,1.0
89,466,1.0
89,2443,1.0
89,2503,1.0
89,2532,1.0
89,4533,1.0
89,5469,1.0
89,6039,1.0
89,7204,1.0
90,5164,1.0
91,118,1.0
91,156,1.0
91,2600,1.0
91,4573,1.0
91,5390,1.0
91,6987,1.0
91,7650,1.0
91,7858,1.0
91,11034,1.0
92,21,1.0
92,3555,1.0
93,3820,1.0
93,5674,1.0
93,5846,1.0
93,5847,1.0
93,7964,1.0
94,2099,1.0
94,2735,1.0
94,2828,1.0
94,4184,1.0
94,7130,1.0
94,7585,1.0
95,4381,1.0
96,83,1.0
96,1263,1.0
96,1873,1.0
96,2698,1.0
96,4976,1.0
97,2960,1.0
98,129,1.0
98,2250,1.0
98,2336,1.0
98,2669,1.0
99,882,1.0
99,1384,1.0
99,2743,1.0
99,3938,1.0
99,3998,1.0
99,6427,1.0
99,6732,1.0
100,890,1.0
100,1015,1.0
100,2730,1.0
100,2947,1.0
100,4936,1.0
100,7005,1.0
100,9413,1.0
101,5464,1.0
101,5640,1.0
101,8572,1.0
101,10744,1.0
102,1849,1.0
102,1973,1.0
102,7072,1.0
102,7925,1.0
102,8297,1.0
103,5908,1.0
103,7843,1.0
103,10804,1.0
104,1514,1.0
104,4766,1.0
105,113,1.0
105,221,1.0
105,1234,1.0
105,2396,1.0
105,2794,1.0
105,2862,1.0
105,4684,1.0
105,7928,1.0
106,4126,1.0
107,11275,1.0
108,185,1.0
108,225,1.0
108,466,1.0
108,882,1.0
108,4646,1.0
108,5153,1.0
108,5158,1.0
108,12035,1.0
109,1215,1.0
109,3930,1.0
110,5275,1.0
111,2689,1.0
111,5130,1.0
112,963,1.0
113,105,1.0
113,179,1.0
113,800,1.0
113,2528,1.0
113,2654,1.0
113,2661,1.0
113,2846,1.0
113,4684,1.0
113,5987,1.0
113,8689,1.0
113,9883,1.0
114,2512,1.0
114,2876,1.0
114,6286,1.0
114,7630,1.0
115,2262,1.0
115,5990,1.0
115,7131,1.0
115,7208,1.0
115,7581,1.0
115,7656,1.0
115,11937,1.0
116,1551,1.0
116,1559,1.0
117,2213,1.0
117,2352,1.0
117,2664,1.0
117,7294,1.0
118,91,1.0
118,2689,1.0
118,2755,1.0
118,4049,1.0
118,5130,1.0
118,7403,1.0
119,1126,1.0
119,2478,1.0
120,2475,1.0
121,3763,1.0
121,7088,1.0
122,1197,1.0
122,11494,1.0
123,5179,1.0
123,6952,1.0
123,8504,1.0
123,10139,1.0
123,10544,1.0
124,5026,1.0
124,5167,1.0
125,138,1.0
125,1082,1.0
125,2226,1.0
125,2593,1.0
125,7588,1.0
125,7865,1.0
126,6214,1.0
126,7680,1.0
126,8364,1.0
127,177,1.0
127,178,1.0
128,12,1.0
128,152,1.0
128,4366,1.0
128,4610,1.0
128,9306,1.0
129,47,1.0
129,98,1.0
129,2998,1.0
129,5253,1.0
