Wealth.index,Type.of.place.of.residence,Frequency.eats.fish,Frequency.eats.chicken.or.meat,Has.refrigerator,id
4,0,2,2,1,3090
3,0,0,0,0,3091
3,0,1,1,0,3092
2,0,0,0,0,3093
3,0,2,1,0,3094
0,1,0,0,0,3095
1,1,0,0,0,3096
2,1,1,1,1,3097
4,0,2,1,1,3098
4,0,1,1,1,3099
3,1,0,0,0,3100
4,0,0,0,1,3101
4,0,0,0,1,3102
4,1,0,0,1,3103
4,0,0,0,1,3104
0,1,1,1,0,3105
1,1,0,0,0,3106
1,1,0,0,0,3107
2,1,2,2,0,3108
4,1,1,2,1,3109
4,0,0,0,1,3110
0,1,2,2,0,3111
4,0,0,0,1,3112
1,1,0,0,0,3113
3,1,0,0,0,3114
3,1,0,0,0,3115
3,0,0,2,0,3116
4,0,1,1,1,3117
4,0,2,1,1,3118
4,0,0,0,1,3119
3,0,0,0,0,3120
4,0,0,0,1,3121
3,0,0,0,0,3122
4,1,0,0,1,3123
1,1,2,2,0,3124
1,1,0,0,0,3125
3,1,1,2,0,3126
2,1,2,2,0,3127
4,0,0,0,1,3128
4,0,1,2,0,3129
4,0,0,0,1,3130
0,1,1,1,0,3131
2,0,1,2,0,3132
4,1,0,0,1,3133
4,0,0,0,1,3134
1,1,0,0,0,3135
4,0,0,0,1,3136
1,1,2,2,0,3137
4,0,0,0,1,3138
4,0,0,0,1,3139
1,1,0,0,0,3140
3,1,1,1,0,3141
4,1,1,1,1,3142
4,0,1,1,1,3143
2,1,0,0,0,3144
4,0,0,0,0,3145
4,0,2,2,1,3146
4,0,0,0,1,3147
1,1,0,0,0,3148
4,0,1,0,1,3149
2,0,1,1,0,3150
4,0,0,0,1,3151
4,0,0,0,1,3152
4,1,2,2,1,3153
2,1,0,2,1,3154
1,1,1,1,0,3155
0,1,1,1,0,3156
1,1,0,0,0,3157
0,1,1,1,0,3158
4,0,0,0,1,3159
0,1,1,1,0,3160
0,1,1,1,0,3161
0,1,1,1,0,3162
2,1,2,2,0,3163
4,0,0,0,1,3164
4,0,0,0,1,3165
1,1,0,0,0,3166
0,1,0,1,0,3167
0,1,1,1,0,3168
2,1,1,2,0,3169
1,1,1,1,0,3170
4,0,0,0,1,3171
4,0,0,0,1,3172
4,0,1,1,1,3173
0,1,1,1,0,3174
0,1,0,0,0,3175
4,1,0,0,1,3176
4,0,2,2,1,3177
4,0,0,0,0,3178
4,0,1,1,0,3179
4,0,1,1,1,3180
2,0,0,0,0,3181
1,1,0,0,0,3182
1,1,0,0,0,3183
3,1,0,0,0,3184
1,1,2,2,0,3185
1,1,3,3,0,3186
3,1,2,2,0,3187
4,0,1,1,1,3188
3,1,2,2,1,3189
3,1,1,1,1,3190
4,0,0,0,1,3191
2,1,0,0,0,3192
4,0,2,2,1,3193
1,1,0,0,0,3194
2,1,0,0,0,3195
1,1,0,0,0,3196
2,1,0,0,0,3197
0,1,0,2,0,3198
1,1,2,2,0,3199
0,1,2,2,0,3200
3,0,2,2,0,3201
4,0,0,0,1,3202
4,1,0,0,1,3203
3,1,1,1,1,3204
3,1,0,0,0,3205
0,1,0,0,0,3206
2,0,0,0,0,3207
2,0,2,2,0,3208
0,1,0,0,0,3209
4,1,1,1,1,3210
0,1,0,0,0,3211
4,1,0,0,1,3212
2,1,2,2,0,3213
3,0,0,0,0,3214
4,0,0,0,1,3215
0,1,2,2,0,3216
0,1,0,0,0,3217
3,0,2,2,1,3218
2,1,1,0,0,3219
1,1,2,0,0,3220
0,1,2,0,0,3221
0,1,1,1,0,3222
0,1,2,1,0,3223
0,1,1,2,0,3224
0,1,1,2,0,3225
0,1,0,0,0,3226
4,0,2,2,1,3227
1,1,2,2,0,3228
4,0,2,2,1,3229
4,0,1,1,0,3230
4,0,0,0,1,3231
1,1,0,0,0,3232
4,1,0,0,0,3233
2,1,0,0,0,3234
2,1,2,2,0,3235
2,1,0,0,0,3236
1,1,1,1,0,3237
0,1,2,2,0,3238
0,1,3,2,0,3239
0,1,1,2,0,3240
0,1,0,0,0,3241
0,1,1,2,0,3242
0,1,1,2,0,3243
3,0,0,0,0,3244
2,0,1,1,0,3245
4,0,0,0,1,3246
4,0,0,0,1,3247
4,0,2,2,0,3248
1,0,1,1,0,3249
0,1,2,2,0,3250
0,1,2,2,0,3251
3,0,0,0,0,3252
4,0,0,0,1,3253
0,1,1,1,0,3254
2,1,0,0,0,3255
2,0,0,0,0,3256
4,0,0,2,0,3257
4,0,0,0,1,3258
4,0,0,0,1,3259
3,0,0,0,0,3260
3,1,0,0,0,3261
3,1,0,0,1,3262
3,1,1,1,0,3263
3,1,1,1,0,3264
4,1,0,0,0,3265
0,1,0,0,0,3266
3,0,0,0,0,3267
3,0,1,1,0,3268
4,0,1,1,1,3269
4,0,0,0,1,3270
1,0,0,0,0,3271
3,0,0,1,0,3272
0,1,2,2,0,3273
4,1,0,0,1,3274
3,1,0,0,0,3275
0,1,1,1,0,3276
3,0,0,0,1,3277
4,0,1,2,1,3278
3,1,0,0,0,3279
1,1,1,1,0,3280
4,0,0,2,1,3281
2,0,1,1,0,3282
3,1,0,0,0,3283
2,0,1,1,0,3284
3,0,1,1,0,3285
1,1,1,1,0,3286
2,0,1,1,0,3287
1,1,2,2,0,3288
4,1,0,0,0,3289
3,1,0,0,0,3290
4,0,0,0,1,3291
1,1,0,0,0,3292
0,1,0,0,0,3293
2,1,0,0,0,3294
4,0,0,0,1,3295
4,0,0,2,1,3296
4,0,0,0,1,3297
4,0,1,1,1,3298
4,0,0,0,1,3299
0,1,0,0,0,3300
2,1,0,0,0,3301
1,1,1,1,0,3302
4,1,2,2,1,3303
4,0,0,0,1,3304
0,1,1,1,0,3305
0,1,0,1,0,3306
3,0,0,0,0,3307
2,1,0,1,0,3308
3,0,1,1,1,3309
2,1,0,0,0,3310
0,1,0,0,0,3311
0,1,0,0,0,3312
1,1,1,1,0,3313
0,1,2,0,0,3314
0,1,1,2,0,3315
0,0,0,0,0,3316
0,1,1,1,0,3317
3,1,2,2,1,3318
0,0,1,1,0,3319
4,0,1,1,1,3320
4,0,0,0,0,3321
4,0,0,0,1,3322
4,0,0,0,1,3323
3,1,0,0,0,3324
2,0,0,0,0,3325
3,0,2,3,0,3326
0,1,0,0,0,3327
2,1,2,2,0,3328
3,1,2,2,0,3329
4,1,0,1,1,3330
1,1,2,2,1,3331
1,1,0,0,0,3332
3,0,1,1,0,3333
4,0,0,0,1,3334
0,1,0,0,0,3335
0,1,0,0,0,3336
2,0,2,2,0,3337
2,0,0,0,0,3338
2,0,1,1,0,3339
3,0,1,1,0,3340
1,1,0,0,0,3341
3,0,0,0,0,3342
1,1,0,0,0,3343
1,1,0,0,0,3344
3,0,0,0,0,3345
3,1,0,0,0,3346
4,1,0,0,0,3347
3,0,0,0,1,3348
4,0,2,2,1,3349
4,0,0,0,1,3350
4,0,2,2,1,3351
4,0,0,0,1,3352
3,1,2,2,0,3353
3,0,2,2,0,3354
4,0,0,0,1,3355
3,0,2,2,1,3356
4,0,3,3,1,3357
0,1,0,0,0,3358
0,1,0,0,0,3359
2,1,0,0,0,3360
4,1,0,0,1,3361
3,0,1,1,0,3362
1,1,0,0,0,3363
4,0,2,1,1,3364
4,0,1,1,1,3365
0,1,2,2,0,3366
2,1,2,2,0,3367
4,0,0,0,1,3368
3,1,0,0,1,3369
1,1,1,0,0,3370
3,1,0,0,0,3371
4,0,0,0,1,3372
4,0,2,0,0,3373
4,0,0,0,0,3374
1,1,2,2,0,3375
2,1,0,0,0,3376
3,1,0,1,1,3377
1,1,0,0,0,3378
2,0,0,2,0,3379
4,0,0,0,0,3380
4,0,0,0,1,3381
3,1,0,0,0,3382
1,1,0,1,0,3383
3,1,0,0,0,3384
4,0,1,1,1,3385
4,0,0,0,1,3386
0,1,0,0,0,3387
1,1,0,0,0,3388
2,1,0,0,0,3389
0,1,0,0,0,3390
1,1,0,0,0,3391
2,1,0,0,0,3392
3,1,0,0,1,3393
4,0,1,1,1,3394
4,0,0,0,1,3395
4,0,0,0,1,3396
0,1,0,0,0,3397
0,1,2,0,0,3398
0,1,0,0,0,3399
1,1,2,0,0,3400
0,1,2,0,0,3401
0,1,2,2,0,3402
1,1,1,1,0,3403
2,1,2,2,0,3404
0,1,0,0,0,3405
4,0,2,2,1,3406
3,0,0,0,1,3407
4,0,0,1,1,3408
1,1,0,0,0,3409
4,0,1,1,1,3410
4,0,0,0,0,3411
4,0,1,1,1,3412
4,0,0,0,1,3413
3,0,1,1,0,3414
2,0,1,1,0,3415
4,0,0,0,1,3416
1,1,0,0,0,3417
4,0,1,2,1,3418
4,0,2,2,1,3419
1,1,2,2,0,3420
3,0,1,2,1,3421
1,1,0,0,0,3422
3,1,0,1,1,3423
2,1,0,0,0,3424
3,0,0,0,1,3425
0,1,0,0,0,3426
4,1,0,2,1,3427
3,0,1,1,1,3428
0,1,2,2,0,3429
4,0,2,1,1,3430
3,1,0,0,0,3431
3,0,2,2,0,3432
0,1,1,0,0,3433
2,1,0,0,0,3434
2,0,0,1,0,3435
4,0,0,0,0,3436
4,0,0,0,0,3437
1,1,0,0,0,3438
0,1,0,0,0,3439
4,0,0,0,1,3440
4,0,0,0,1,3441
4,0,2,2,1,3442
4,0,0,0,1,3443
2,1,0,0,0,3444
4,1,0,0,0,3445
4,0,0,0,0,3446
4,0,0,0,1,3447
3,0,0,0,0,3448
4,0,0,0,1,3449
4,0,0,0,1,3450
4,0,0,0,1,3451
2,1,0,0,0,3452
0,1,1,1,0,3453
4,0,0,0,1,3454
0,1,0,0,0,3455
3,0,2,2,1,3456
4,1,0,0,1,3457
0,1,1,1,0,3458
0,1,1,1,0,3459
0,1,1,1,0,3460
3,0,2,2,1,3461
4,1,1,1,1,3462
4,0,0,0,1,3463
3,0,2,2,1,3464
2,1,0,0,0,3465
2,1,0,0,0,3466
3,1,2,2,0,3467
3,1,2,2,0,3468
2,1,0,0,0,3469
1,1,1,1,0,3470
3,1,0,0,0,3471
4,1,2,2,1,3472
0,1,0,0,0,3473
1,1,1,0,0,3474
4,0,0,0,1,3475
2,0,2,2,0,3476
4,0,2,2,1,3477
4,0,0,0,1,3478
4,0,0,0,1,3479
1,1,0,0,0,3480
1,1,0,0,0,3481
3,0,2,2,0,3482
3,0,0,0,0,3483
3,0,2,2,0,3484
2,1,0,0,0,3485
4,0,1,1,1,3486
1,1,0,0,0,3487
0,1,2,1,0,3488
1,0,2,1,0,3489
4,0,0,0,1,3490
3,1,2,1,1,3491
2,1,0,0,0,3492
4,0,0,0,1,3493
4,0,1,2,1,3494
2,1,2,2,1,3495
2,1,1,1,0,3496
0,1,1,0,0,3497
4,0,2,2,0,3498
4,0,1,1,1,3499
3,0,0,0,1,3500
2,0,0,0,0,3501
1,1,1,1,0,3502
3,0,0,0,0,3503
3,0,0,0,0,3504
0,1,1,1,0,3505
1,1,0,0,0,3506
3,1,1,2,1,3507
0,1,1,0,0,3508
2,1,0,0,0,3509
3,0,1,2,0,3510
2,0,0,0,0,3511
0,1,0,0,0,3512
2,1,2,2,0,3513
2,1,0,0,0,3514
4,1,0,0,1,3515
3,0,1,1,0,3516
2,0,2,2,0,3517
4,0,1,2,1,3518
2,1,0,0,0,3519
4,1,0,0,1,3520
0,1,0,1,0,3521
1,1,0,0,0,3522
0,1,2,2,0,3523
1,1,0,0,0,3524
2,1,1,1,0,3525
4,0,0,0,0,3526
3,0,0,0,0,3527
4,0,0,0,1,3528
3,0,0,0,0,3529
3,0,0,0,0,3530
3,0,0,0,0,3531
3,0,0,0,0,3532
4,0,0,0,1,3533
1,1,0,0,0,3534
1,1,0,0,0,3535
4,0,2,2,0,3536
4,0,1,1,1,3537
1,1,0,0,0,3538
0,1,1,1,0,3539
2,0,0,0,0,3540
1,1,0,0,0,3541
4,1,0,0,0,3542
2,1,2,2,0,3543
2,1,1,2,0,3544
3,1,2,2,1,3545
3,1,0,0,0,3546
4,0,0,0,1,3547
4,0,1,1,1,3548
4,0,0,0,1,3549
4,0,0,0,0,3550
4,0,0,0,1,3551
3,0,0,0,0,3552
2,1,0,0,0,3553
2,1,1,2,0,3554
4,1,1,1,1,3555
1,1,0,2,0,3556
1,1,2,2,0,3557
4,0,0,0,1,3558
4,0,0,0,1,3559
4,0,0,0,1,3560
0,1,1,1,0,3561
3,0,2,2,0,3562
0,1,0,0,0,3563
3,0,0,0,0,3564
4,0,0,0,1,3565
4,0,0,0,1,3566
4,0,1,1,1,3567
1,1,0,0,0,3568
0,1,0,0,0,3569
3,1,0,0,0,3570
4,0,0,0,1,3571
3,1,0,1,1,3572
2,1,0,2,0,3573
4,0,0,0,0,3574
4,0,2,2,1,3575
4,0,0,0,1,3576
4,0,0,0,1,3577
4,1,0,0,1,3578
2,0,1,1,0,3579
0,1,1,1,0,3580
3,1,0,0,1,3581
2,0,0,0,0,3582
0,1,2,2,0,3583
2,1,0,0,0,3584
2,1,0,0,0,3585
0,1,2,2,0,3586
4,0,0,0,1,3587
4,0,1,0,1,3588
2,1,1,1,0,3589
4,0,0,0,0,3590
4,0,0,0,0,3591
2,0,1,1,0,3592
3,1,0,0,1,3593
3,1,2,2,1,3594
3,1,2,2,0,3595
3,1,1,2,0,3596
4,1,0,0,1,3597
4,0,0,0,1,3598
3,0,1,1,0,3599
0,1,1,1,0,3600
4,0,1,1,1,3601
4,0,0,0,1,3602
4,0,2,2,1,3603
1,1,1,1,0,3604
3,1,0,0,0,3605
0,1,1,1,0,3606
4,1,1,1,1,3607
0,1,1,1,0,3608
0,1,0,0,0,3609
1,1,0,0,0,3610
3,1,0,0,0,3611
4,0,2,2,1,3612
4,0,0,0,1,3613
4,0,0,0,1,3614
3,0,1,1,0,3615
2,1,2,0,0,3616
0,1,1,1,0,3617
0,1,0,0,0,3618
2,1,0,0,0,3619
3,1,2,2,1,3620
4,0,0,0,0,3621
4,0,0,0,1,3622
4,0,0,0,1,3623
4,0,0,0,1,3624
4,0,0,0,1,3625
4,0,0,0,1,3626
1,1,1,1,0,3627
1,1,0,0,0,3628
2,1,0,0,0,3629
1,1,0,0,0,3630
0,1,0,0,0,3631
0,1,2,1,0,3632
3,1,0,0,0,3633
0,0,2,1,0,3634
1,1,1,1,0,3635
4,1,1,1,1,3636
0,1,0,0,0,3637
1,1,0,0,0,3638
0,1,2,2,0,3639
3,0,1,1,1,3640
4,0,2,2,1,3641
3,0,1,1,1,3642
4,1,0,0,0,3643
4,0,0,0,1,3644
2,1,0,0,0,3645
2,0,0,0,1,3646
4,0,0,0,1,3647
4,0,1,1,1,3648
3,0,0,2,1,3649
3,0,0,0,0,3650
4,0,0,0,1,3651
4,0,2,2,0,3652
4,1,0,0,1,3653
3,0,0,0,0,3654
3,0,0,1,0,3655
2,0,0,0,0,3656
4,0,1,1,1,3657
2,1,0,0,1,3658
2,0,0,0,0,3659
4,0,0,0,1,3660
4,0,1,1,1,3661
2,1,1,2,0,3662
3,0,0,0,0,3663
3,1,0,0,0,3664
2,1,0,0,1,3665
1,1,0,0,0,3666
1,0,1,1,0,3667
4,0,1,1,1,3668
4,0,0,0,1,3669
3,0,1,3,0,3670
1,1,2,2,0,3671
1,1,2,2,0,3672
0,1,1,1,0,3673
2,1,3,3,0,3674
3,1,2,2,0,3675
2,1,2,3,0,3676
3,0,0,0,0,3677
3,0,1,1,1,3678
3,0,0,0,0,3679
2,1,0,0,0,3680
4,0,2,2,0,3681
0,1,1,1,0,3682
1,0,1,1,0,3683
1,1,2,2,0,3684
1,1,0,0,0,3685
1,1,0,0,0,3686
4,0,2,2,1,3687
4,0,2,2,1,3688
1,1,0,0,0,3689
4,0,1,1,1,3690
3,0,0,0,0,3691
0,1,2,2,0,3692
4,0,2,2,1,3693
4,1,0,0,1,3694
4,1,3,3,1,3695
4,0,0,0,1,3696
0,1,1,1,0,3697
4,0,0,2,1,3698
4,0,0,1,1,3699
2,1,0,0,0,3700
4,0,0,0,1,3701
4,0,1,1,1,3702
4,0,0,0,1,3703
4,0,0,0,1,3704
4,1,0,0,1,3705
4,0,0,0,1,3706
0,1,1,1,0,3707
3,1,0,0,0,3708
0,1,2,2,0,3709
0,1,1,2,0,3710
0,1,1,1,0,3711
1,1,1,1,0,3712
0,1,1,1,0,3713
0,1,2,2,0,3714
1,1,2,1,0,3715
0,1,2,2,0,3716
4,1,0,0,1,3717
0,1,1,2,0,3718
1,1,2,2,0,3719
0,1,1,2,0,3720
1,1,0,0,0,3721
3,1,1,1,0,3722
2,0,1,1,0,3723
4,0,0,0,1,3724
4,0,0,0,1,3725
2,0,2,1,0,3726
3,0,1,1,0,3727
3,0,1,1,1,3728
4,0,1,0,1,3729
4,0,0,0,1,3730
4,0,2,2,1,3731
0,1,0,0,0,3732
4,0,1,1,1,3733
4,0,0,0,1,3734
0,1,0,0,0,3735
2,1,0,0,0,3736
2,0,1,1,0,3737
4,0,1,1,1,3738
0,1,2,2,0,3739
4,0,1,2,1,3740
4,0,1,2,1,3741
4,1,0,0,1,3742
0,1,0,0,0,3743
4,0,2,2,1,3744
1,1,0,0,0,3745
1,1,0,0,0,3746
4,0,0,0,0,3747
4,0,1,1,1,3748
4,0,0,0,1,3749
1,1,2,2,0,3750
4,0,0,0,1,3751
4,0,0,2,1,3752
4,0,2,2,1,3753
4,0,0,0,1,3754
4,0,0,0,0,3755
4,0,0,0,0,3756
0,1,1,1,0,3757
1,1,1,1,0,3758
4,1,0,0,1,3759
3,1,1,1,1,3760
3,0,0,0,0,3761
4,0,0,0,0,3762
2,1,2,2,0,3763
2,0,0,0,0,3764
0,0,1,1,0,3765
4,1,0,0,0,3766
4,0,2,2,1,3767
1,1,1,0,0,3768
4,0,0,0,1,3769
0,1,1,1,0,3770
1,1,0,0,0,3771
4,0,0,2,1,3772
2,0,0,0,0,3773
2,0,3,3,0,3774
3,0,2,2,0,3775
3,0,0,3,0,3776
4,0,0,3,1,3777
2,1,0,0,0,3778
4,0,0,0,1,3779
2,1,1,1,0,3780
1,1,1,1,0,3781
1,1,1,1,0,3782
2,1,0,2,1,3783
1,0,2,2,0,3784
3,0,2,2,0,3785
2,0,2,2,1,3786
4,0,0,0,1,3787
2,1,1,1,0,3788
3,1,2,2,0,3789
3,1,1,1,0,3790
4,1,0,0,1,3791
3,1,0,1,0,3792
3,1,2,1,1,3793
4,0,0,0,1,3794
4,0,0,0,1,3795
4,0,2,2,0,3796
3,1,1,1,1,3797
3,0,1,1,1,3798
4,0,0,0,1,3799
2,0,1,2,0,3800
4,1,0,0,1,3801
4,0,0,0,1,3802
4,0,0,0,1,3803
3,0,0,0,0,3804
4,0,2,2,1,3805
4,0,0,0,1,3806
2,0,3,3,1,3807
2,1,0,0,0,3808
3,1,0,0,1,3809
4,1,1,1,1,3810
3,1,2,2,1,3811
4,0,0,0,1,3812
4,1,0,1,0,3813
3,1,2,2,0,3814
1,1,2,2,0,3815
2,1,2,2,0,3816
4,0,0,0,1,3817
4,0,2,2,1,3818
4,0,0,0,1,3819
4,1,1,2,1,3820
4,0,2,2,1,3821
4,0,2,2,1,3822
3,0,1,2,0,3823
4,0,1,2,1,3824
4,0,0,0,1,3825
4,0,1,1,1,3826
3,0,2,2,0,3827
3,0,2,1,1,3828
2,0,1,1,0,3829
4,0,2,2,0,3830
1,1,1,1,0,3831
1,1,0,0,0,3832
4,1,1,1,1,3833
2,1,2,2,0,3834
3,0,0,0,1,3835
2,0,2,2,0,3836
2,0,2,2,0,3837
1,1,2,2,0,3838
3,0,1,2,0,3839
4,0,2,2,1,3840
4,0,0,0,1,3841
3,1,2,2,0,3842
4,0,2,2,1,3843
0,1,2,2,0,3844
3,0,1,1,1,3845
1,1,2,2,0,3846
1,1,0,1,0,3847
3,0,1,1,0,3848
4,0,1,1,1,3849
3,1,0,0,0,3850
4,0,2,2,1,3851
4,0,1,1,1,3852
0,1,2,2,0,3853
4,1,1,2,1,3854
1,1,0,0,0,3855
3,0,1,2,1,3856
1,1,0,1,0,3857
4,0,1,2,0,3858
4,0,1,1,1,3859
4,0,0,0,1,3860
4,0,3,3,1,3861
2,1,2,2,0,3862
2,1,2,1,0,3863
3,1,1,1,0,3864
2,0,1,2,0,3865
1,1,1,2,0,3866
2,1,0,2,0,3867
2,1,1,1,0,3868
4,1,2,2,1,3869
1,1,2,1,0,3870
3,0,2,2,1,3871
3,0,1,1,0,3872
2,0,1,1,0,3873
4,0,0,0,1,3874
3,0,1,1,0,3875
4,0,1,2,1,3876
0,1,1,1,0,3877
4,0,1,1,1,3878
4,0,1,1,1,3879
4,0,2,2,1,3880
4,0,2,2,1,3881
3,0,2,2,1,3882
4,0,1,2,1,3883
4,0,2,2,1,3884
2,1,1,1,0,3885
2,1,1,1,0,3886
4,0,0,0,1,3887
4,0,1,1,1,3888
4,0,2,2,1,3889
3,1,2,1,0,3890
4,1,1,1,1,3891
3,1,1,1,1,3892
4,0,0,2,1,3893
3,1,1,1,0,3894
2,0,2,2,0,3895
4,0,2,2,1,3896
1,1,0,0,0,3897
1,1,0,0,0,3898
0,1,2,2,0,3899
1,1,2,1,0,3900
4,0,1,1,1,3901
3,0,1,1,1,3902
4,0,1,1,1,3903
4,0,0,0,1,3904
4,0,0,0,1,3905
0,1,0,0,0,3906
4,1,1,1,1,3907
1,1,0,1,0,3908
1,1,0,0,0,3909
3,0,3,2,1,3910
4,0,0,1,1,3911
3,1,2,1,1,3912
4,0,2,2,1,3913
2,1,2,2,0,3914
1,1,1,2,0,3915
3,1,0,0,0,3916
1,1,0,0,0,3917
4,0,1,2,1,3918
2,0,1,2,0,3919
1,1,1,2,0,3920
1,1,1,1,0,3921
1,1,0,1,0,3922
1,1,0,0,0,3923
1,1,0,0,0,3924
3,0,0,0,0,3925
4,0,0,0,1,3926
3,0,2,2,1,3927
4,1,0,0,1,3928
3,0,2,2,1,3929
3,0,2,2,1,3930
3,0,1,2,1,3931
1,1,0,2,0,3932
4,0,0,2,1,3933
4,0,0,1,1,3934
4,0,2,2,1,3935
4,0,2,1,1,3936
4,0,1,1,1,3937
3,0,1,2,1,3938
3,1,0,3,0,3939
3,0,0,1,1,3940
4,0,0,0,1,3941
4,0,2,2,1,3942
3,0,0,0,0,3943
3,0,1,2,0,3944
4,0,2,2,1,3945
4,1,1,1,1,3946
4,0,0,0,0,3947
4,0,1,1,1,3948
0,1,1,1,0,3949
2,1,2,2,0,3950
4,1,0,0,1,3951
2,0,1,1,0,3952
3,0,2,2,0,3953
4,0,0,1,1,3954
3,0,1,1,0,3955
4,0,1,2,1,3956
4,0,0,1,0,3957
1,1,2,2,0,3958
4,0,2,2,1,3959
3,1,2,2,1,3960
4,0,0,0,1,3961
2,0,2,2,1,3962
3,0,0,1,1,3963
4,0,2,2,1,3964
4,0,0,0,1,3965
3,0,0,0,0,3966
4,1,0,0,1,3967
2,1,0,0,0,3968
2,0,0,0,0,3969
4,0,2,3,1,3970
3,0,1,1,0,3971
4,0,1,1,1,3972
4,0,0,0,1,3973
2,1,1,2,0,3974
4,0,0,0,1,3975
1,1,0,0,0,3976
1,1,0,1,0,3977
3,1,1,1,0,3978
3,1,1,1,0,3979
0,1,2,2,0,3980
4,1,2,2,1,3981
2,1,0,0,0,3982
4,0,0,0,1,3983
3,1,2,2,0,3984
2,1,0,0,0,3985
3,1,3,1,0,3986
4,0,2,2,1,3987
2,1,2,2,0,3988
3,0,1,2,0,3989
2,0,0,0,0,3990
2,0,0,0,0,3991
4,1,1,1,1,3992
3,1,2,2,1,3993
3,1,2,2,1,3994
4,1,0,0,1,3995
4,0,1,1,0,3996
4,0,1,1,1,3997
4,1,2,3,1,3998
4,0,1,1,1,3999
3,1,2,2,0,4000
3,1,1,2,0,4001
4,1,2,2,1,4002
4,0,1,1,0,4003
1,1,2,2,0,4004
3,1,1,1,0,4005
4,0,1,1,1,4006
2,1,2,2,0,4007
3,1,1,2,0,4008
4,0,2,2,1,4009
3,0,1,1,1,4010
2,0,0,1,0,4011
0,1,1,1,0,4012
3,1,2,2,1,4013
3,1,1,2,0,4014
4,0,1,2,1,4015
4,1,0,0,1,4016
3,1,1,1,1,4017
2,0,2,2,1,4018
4,0,2,2,1,4019
2,1,1,1,1,4020
3,1,3,1,1,4021
4,0,0,0,1,4022
3,0,2,2,1,4023
4,1,1,1,1,4024
4,0,0,0,1,4025
4,0,1,2,1,4026
2,1,0,2,0,4027
3,1,0,0,0,4028
2,1,1,1,0,4029
1,1,1,2,0,4030
3,1,0,0,1,4031
2,1,2,2,0,4032
4,1,2,2,1,4033
3,1,0,0,0,4034
3,1,0,0,1,4035
2,0,1,2,0,4036
4,0,2,2,0,4037
2,0,1,2,0,4038
2,0,2,2,0,4039
3,1,0,0,1,4040
3,1,0,0,0,4041
4,1,0,1,1,4042
3,1,1,1,0,4043
4,1,0,1,1,4044
4,0,2,2,1,4045
1,0,0,0,0,4046
4,0,2,2,1,4047
3,1,2,2,1,4048
3,1,2,2,1,4049
3,0,1,2,1,4050
3,0,0,0,0,4051
4,0,2,2,1,4052
2,0,2,2,0,4053
0,1,0,0,0,4054
3,0,1,1,0,4055
3,0,0,0,0,4056
2,1,1,1,0,4057
2,0,2,2,0,4058
4,1,0,0,1,4059
4,0,0,0,0,4060
4,0,0,0,1,4061
3,0,1,1,1,4062
3,0,0,0,1,4063
2,0,0,0,0,4064
2,1,2,2,0,4065
3,0,1,1,1,4066
3,0,2,2,0,4067
2,1,2,1,0,4068
1,0,0,2,0,4069
3,0,2,2,1,4070
4,0,3,3,1,4071
1,1,2,1,0,4072
4,0,0,2,1,4073
4,1,2,2,1,4074
4,1,1,1,1,4075
4,1,2,1,1,4076
4,1,0,0,1,4077
3,1,1,2,0,4078
4,0,1,2,1,4079
4,0,0,0,1,4080
4,1,2,2,1,4081
3,0,1,2,1,4082
4,1,0,0,0,4083
1,0,1,1,0,4084
3,0,0,0,1,4085
4,0,0,0,1,4086
3,1,0,0,0,4087
4,0,2,2,1,4088
4,0,2,2,1,4089
0,1,0,0,0,4090
4,0,2,2,1,4091
3,0,1,1,0,4092
4,0,1,2,1,4093
1,1,0,1,0,4094
1,1,2,2,0,4095
1,1,2,2,0,4096
2,0,0,2,0,4097
1,1,0,1,0,4098
3,1,0,0,0,4099
4,0,2,2,1,4100
4,0,2,2,1,4101
3,0,1,1,1,4102
4,0,2,0,1,4103
4,0,2,2,1,4104
4,0,2,2,1,4105
4,0,0,0,1,4106
2,0,2,2,0,4107
2,1,2,2,0,4108
4,0,2,2,1,4109
1,0,2,2,0,4110
4,0,1,1,1,4111
3,0,1,1,0,4112
4,0,1,2,1,4113
3,0,1,1,1,4114
4,0,2,1,1,4115
4,0,2,2,1,4116
3,0,1,1,1,4117
2,1,2,2,0,4118
3,1,2,2,0,4119
3,1,1,1,0,4120
4,0,2,1,1,4121
3,0,1,2,0,4122
3,0,1,1,0,4123
3,0,1,1,0,4124
3,0,1,1,0,4125
1,0,1,3,0,4126
3,1,2,2,0,4127
2,1,2,2,0,4128
4,0,1,1,1,4129
4,0,1,2,1,4130
3,1,0,0,1,4131
1,1,0,0,1,4132
0,1,1,2,0,4133
4,1,1,1,1,4134
3,1,0,0,0,4135
2,1,0,0,0,4136
1,1,0,0,0,4137
1,1,2,2,0,4138
1,1,1,0,0,4139
3,1,1,2,1,4140
2,1,2,2,1,4141
1,1,0,0,0,4142
1,1,1,1,0,4143
2,1,2,2,0,4144
4,0,2,2,0,4145
3,0,0,0,0,4146
2,1,1,2,0,4147
4,0,1,1,0,4148
3,0,1,1,0,4149
4,0,0,0,1,4150
3,0,1,1,1,4151
2,1,2,2,0,4152
2,1,2,2,0,4153
3,1,2,1,0,4154
3,0,2,2,1,4155
4,0,2,2,1,4156
3,1,2,2,0,4157
2,1,2,2,0,4158
2,1,2,2,0,4159
1,1,1,1,0,4160
2,0,1,1,0,4161
