Wealth.index,Type.of.place.of.residence,Frequency.eats.fish,Frequency.eats.chicken.or.meat,Has.refrigerator,id
3,1,0,0,1,261
4,0,2,1,1,262
4,0,0,0,1,263
2,1,0,0,0,264
2,1,0,0,0,265
3,0,1,1,1,266
1,1,1,1,0,267
2,1,1,1,0,268
2,0,1,1,0,269
4,0,3,2,1,270
4,0,0,0,1,271
3,0,0,0,1,272
4,0,0,0,1,273
4,0,0,0,1,274
2,1,0,0,0,275
2,1,1,2,0,276
4,0,0,0,1,277
4,0,0,0,0,278
4,0,1,1,1,279
4,1,0,0,1,280
4,0,2,2,1,281
0,0,0,0,0,282
3,0,1,1,0,283
2,1,0,0,0,284
2,1,0,0,0,285
4,0,0,0,1,286
4,0,1,1,1,287
1,1,0,0,0,288
3,1,0,0,1,289
4,0,1,1,1,290
4,0,0,0,1,291
3,1,0,0,0,292
2,1,0,0,0,293
0,1,0,0,0,294
1,1,0,0,0,295
1,1,0,0,0,296
1,1,0,0,0,297
1,1,0,0,0,298
0,1,0,0,0,299
0,1,2,2,0,300
1,1,1,1,0,301
3,1,0,0,1,302
1,1,0,0,0,303
3,1,0,0,1,304
4,0,2,2,1,305
1,1,0,0,0,306
4,0,0,0,1,307
4,0,0,0,1,308
4,0,0,0,1,309
4,0,0,0,1,310
2,1,0,0,0,311
1,1,2,1,0,312
2,1,0,0,0,313
4,0,0,0,1,314
4,0,0,0,1,315
4,0,0,0,1,316
2,1,1,0,1,317
3,0,0,0,0,318
1,1,0,0,0,319
4,0,0,0,1,320
4,0,0,0,1,321
0,1,0,0,0,322
3,1,0,0,0,323
4,1,0,0,1,324
1,1,2,2,0,325
4,0,2,2,1,326
2,1,0,0,1,327
2,1,1,1,0,328
4,0,0,0,0,329
3,0,0,0,0,330
4,0,0,0,1,331
4,0,0,0,0,332
3,1,0,0,1,333
4,0,0,0,1,334
4,0,0,0,1,335
3,0,0,0,1,336
4,0,0,0,1,337
2,1,2,2,1,338
4,1,0,0,1,339
1,1,0,0,0,340
3,1,0,0,0,341
4,0,1,0,1,342
3,1,1,1,1,343
3,1,1,1,1,344
2,1,0,0,0,345
3,1,0,0,1,346
4,1,0,0,1,347
4,0,0,0,1,348
4,0,0,0,1,349
4,0,0,0,1,350
4,0,1,1,1,351
4,0,1,2,1,352
1,1,2,2,0,353
3,1,1,2,1,354
4,0,0,0,1,355
3,0,0,0,0,356
2,0,1,1,1,357
2,0,1,1,0,358
3,0,0,0,0,359
1,1,0,0,0,360
4,0,0,0,1,361
4,1,1,1,1,362
4,1,0,0,1,363
4,0,0,0,1,364
3,1,1,2,0,365
3,1,1,1,1,366
4,0,0,0,0,367
4,0,0,0,1,368
4,1,2,2,1,369
3,0,0,0,1,370
3,0,1,1,0,371
4,0,0,0,1,372
4,0,0,0,1,373
2,1,0,1,1,374
1,1,1,1,0,375
1,1,1,1,0,376
2,1,0,0,1,377
0,1,1,1,0,378
0,1,0,1,0,379
2,0,0,0,0,380
4,0,1,2,1,381
1,1,1,1,0,382
1,1,1,1,0,383
2,1,0,0,0,384
4,0,0,0,1,385
3,1,0,0,1,386
4,0,0,0,1,387
3,1,1,1,1,388
4,0,2,2,0,389
4,0,2,2,1,390
0,1,0,0,0,391
1,1,0,0,0,392
3,1,0,0,1,393
1,1,0,0,0,394
4,1,1,1,1,395
4,0,0,0,1,396
4,0,0,0,1,397
4,0,1,2,1,398
4,0,0,0,1,399
4,0,0,0,1,400
4,0,0,0,1,401
4,0,0,0,1,402
4,0,0,0,1,403
4,0,1,1,1,404
4,0,2,2,1,405
4,0,1,1,1,406
3,1,0,1,1,407
4,0,0,0,1,408
3,1,0,0,1,409
3,0,1,2,0,410
3,1,0,0,1,411
3,1,0,0,1,412
3,1,0,0,1,413
4,0,2,2,1,414
1,1,0,0,0,415
3,1,0,0,1,416
3,1,0,0,0,417
2,1,0,0,0,418
0,1,1,1,0,419
4,1,0,0,1,420
4,0,1,1,1,421
3,0,0,2,1,422
2,1,1,1,1,423
1,1,1,1,0,424
3,0,0,0,1,425
3,1,1,1,1,426
3,1,0,0,1,427
3,0,0,0,0,428
3,1,0,0,1,429
2,1,0,0,0,430
2,1,1,1,0,431
4,0,0,1,1,432
3,1,0,1,1,433
4,0,0,0,1,434
4,0,0,0,1,435
3,0,0,0,1,436
4,0,0,0,1,437
0,1,1,1,0,438
4,0,0,0,0,439
4,0,0,0,1,440
4,0,0,0,1,441
2,1,1,2,1,442
4,0,2,2,1,443
4,0,1,1,1,444
4,0,0,0,1,445
2,1,0,0,1,446
2,1,1,1,1,447
4,0,0,0,1,448
3,0,1,1,0,449
4,1,0,0,1,450
4,1,0,0,1,451
2,0,0,0,0,452
4,0,0,0,1,453
3,1,0,0,1,454
4,0,1,3,1,455
3,0,0,0,1,456
4,0,0,0,1,457
3,0,0,0,1,458
3,0,0,0,1,459
4,0,0,0,1,460
4,0,0,0,1,461
4,0,0,0,1,462
4,0,0,0,1,463
3,0,0,0,1,464
4,0,0,0,1,465
4,1,2,2,1,466
2,1,0,0,0,467
3,1,0,0,0,468
3,0,1,0,0,469
3,0,0,0,0,470
3,0,0,0,0,471
0,1,0,0,0,472
4,1,2,2,1,473
4,0,0,0,1,474
4,1,1,1,1,475
2,1,0,0,0,476
4,0,1,2,0,477
3,0,1,2,0,478
4,0,0,0,1,479
4,0,0,0,1,480
4,0,0,0,1,481
4,0,0,0,1,482
4,0,0,0,1,483
4,1,0,0,1,484
4,1,0,0,1,485
1,1,0,0,0,486
1,1,0,0,0,487
0,1,2,2,0,488
3,1,0,0,1,489
4,1,2,2,1,490
2,1,0,0,0,491
4,0,1,1,1,492
3,0,1,2,1,493
4,0,2,2,1,494
4,0,0,0,1,495
1,1,0,0,0,496
3,1,0,0,1,497
2,1,0,0,0,498
4,0,0,0,1,499
1,1,0,0,0,500
2,1,0,0,1,501
4,1,1,1,1,502
2,1,2,2,0,503
3,1,1,1,0,504
0,1,2,1,0,505
4,0,0,0,1,506
3,1,0,0,0,507
4,0,1,1,1,508
2,1,0,0,0,509
3,1,0,0,0,510
3,1,0,0,0,511
4,0,1,2,1,512
3,0,0,0,0,513
3,1,0,0,1,514
2,1,1,1,1,515
4,0,0,0,1,516
4,1,2,2,1,517
2,1,2,0,0,518
4,0,0,0,0,519
3,1,0,0,0,520
3,1,0,0,1,521
3,1,2,2,1,522
2,1,0,0,1,523
2,1,0,0,1,524
4,0,1,1,1,525
4,0,1,2,1,526
4,0,2,2,0,527
4,0,0,0,1,528
4,0,0,0,1,529
3,1,0,0,1,530
4,0,0,0,1,531
4,0,0,0,1,532
3,1,0,1,1,533
4,0,0,0,1,534
3,0,2,2,1,535
4,0,2,1,1,536
3,0,0,0,1,537
4,0,0,0,1,538
3,1,0,0,1,539
4,1,2,1,1,540
4,1,0,0,1,541
2,1,0,1,0,542
3,0,2,2,0,543
1,1,1,1,0,544
3,1,1,2,1,545
1,1,1,1,0,546
4,0,0,0,1,547
4,1,0,0,1,548
1,1,1,1,0,549
1,1,1,1,0,550
4,0,2,0,1,551
4,0,1,1,1,552
4,0,2,2,1,553
3,1,0,0,0,554
4,0,0,0,1,555
4,0,0,0,1,556
4,0,0,0,1,557
4,0,0,0,1,558
4,0,1,0,1,559
4,1,0,0,1,560
0,1,1,1,0,561
4,0,2,2,1,562
4,0,0,0,1,563
3,1,0,0,1,564
2,1,0,1,1,565
3,0,0,2,1,566
4,0,0,0,1,567
4,0,0,1,1,568
4,0,0,0,1,569
4,0,1,1,1,570
4,0,0,1,1,571
2,1,0,0,0,572
3,1,1,0,0,573
2,1,0,0,1,574
3,1,0,0,1,575
4,1,0,1,1,576
4,1,0,0,1,577
4,0,0,0,1,578
2,1,0,0,1,579
4,1,0,0,1,580
4,0,0,0,1,581
4,0,0,0,1,582
4,0,0,0,1,583
4,1,0,0,1,584
4,1,0,0,1,585
4,1,0,0,1,586
4,1,0,0,1,587
4,1,0,0,1,588
3,0,0,0,1,589
3,0,1,1,1,590
3,0,0,0,1,591
4,0,0,0,1,592
4,0,0,0,1,593
3,1,0,0,0,594
4,0,0,2,0,595
1,1,1,1,0,596
4,0,0,0,1,597
4,0,0,0,1,598
4,0,0,1,1,599
3,0,0,0,0,600
4,0,0,0,1,601
2,1,1,2,0,602
4,1,0,0,1,603
4,0,0,0,1,604
4,0,0,0,0,605
3,1,0,1,1,606
4,0,0,0,1,607
4,0,0,0,0,608
4,1,0,0,1,609
2,1,0,0,1,610
4,0,0,0,1,611
3,1,0,0,1,612
3,1,0,1,0,613
4,0,0,1,1,614
4,1,0,0,1,615
3,1,0,0,1,616
4,0,0,0,1,617
4,0,0,0,1,618
4,1,0,0,1,619
2,0,0,0,0,620
3,0,0,0,1,621
3,0,0,0,1,622
3,1,0,0,1,623
3,1,0,0,1,624
4,1,0,0,1,625
4,1,0,0,1,626
4,0,0,0,1,627
4,0,0,0,1,628
4,0,0,0,1,629
3,1,0,0,1,630
4,0,0,0,1,631
4,0,1,1,1,632
4,0,0,0,1,633
4,0,0,0,1,634
4,0,0,1,1,635
3,0,0,1,1,636
4,0,0,0,1,637
4,0,0,0,1,638
4,1,0,0,1,639
2,1,2,2,1,640
4,0,0,0,1,641
4,0,0,0,1,642
4,1,0,0,1,643
3,0,0,0,0,644
1,1,0,0,0,645
1,1,0,0,0,646
3,1,0,0,0,647
4,1,0,0,1,648
4,0,0,0,1,649
4,1,1,1,1,650
4,1,0,0,1,651
3,1,0,0,0,652
4,0,0,0,1,653
4,0,0,0,1,654
2,1,0,0,0,655
4,0,2,2,1,656
4,0,1,1,1,657
4,0,0,0,1,658
4,1,0,0,1,659
3,1,0,0,0,660
1,1,0,0,0,661
4,0,0,0,1,662
3,1,0,0,1,663
2,1,0,0,0,664
3,0,0,0,1,665
4,0,0,0,1,666
2,1,2,2,0,667
4,1,0,0,1,668
4,0,0,0,1,669
4,0,0,0,1,670
4,0,0,1,1,671
4,1,0,0,1,672
4,1,0,0,1,673
4,0,0,0,1,674
4,0,0,1,1,675
4,0,1,2,1,676
4,0,1,1,1,677
4,0,0,1,1,678
3,1,2,0,1,679
4,0,0,0,1,680
4,1,0,0,1,681
4,1,0,0,1,682
4,1,0,0,1,683
3,1,0,0,1,684
4,1,1,1,0,685
2,1,0,0,0,686
4,1,1,1,1,687
4,1,1,1,1,688
2,1,1,1,1,689
4,0,0,0,1,690
3,1,0,0,1,691
4,0,0,0,1,692
4,0,0,0,1,693
4,0,0,0,1,694
4,1,0,0,1,695
3,1,0,0,1,696
3,1,0,0,1,697
2,1,0,0,0,698
4,0,0,0,1,699
4,0,0,0,1,700
2,1,0,0,1,701
4,0,2,1,1,702
4,0,0,0,1,703
3,1,0,0,0,704
3,1,0,0,1,705
3,1,2,2,1,706
1,1,0,1,0,707
4,1,0,0,1,708
4,1,1,1,1,709
1,1,0,0,0,710
3,1,0,0,1,711
3,1,0,0,1,712
3,1,0,0,0,713
3,1,1,0,0,714
1,1,0,0,0,715
4,1,0,0,1,716
3,0,0,2,0,717
4,0,0,1,1,718
2,1,0,0,0,719
4,1,0,0,1,720
4,0,0,0,1,721
1,1,0,0,0,722
2,1,2,1,1,723
4,0,0,0,1,724
2,1,0,0,0,725
4,1,0,0,1,726
4,0,0,0,1,727
3,1,0,0,1,728
4,1,0,0,1,729
4,0,0,0,1,730
4,0,0,0,1,731
2,1,0,0,0,732
3,1,0,0,0,733
4,1,0,0,1,734
